System solution:
x[234] = -4917.063506
x[235] = -31709.343815
x[236] = 102537.759887
x[237] = 11086.346674
x[238] = 95663.845854
x[239] = 192741.142879
x[240] = -23136.446423
x[241] = 54049.849877
x[242] = 88288.706507
x[243] = 107575.331937
x[244] = -18735.208875
x[245] = -37373.313917
x[246] = 5157.376588
x[247] = 70036.124822
x[248] = 187507.365251
x[249] = 2236.359589
x[250] = 198174.840482
x[251] = 145022.241434
x[252] = 173518.713300
x[253] = 40692.813092
x[254] = 174654.919904
x[255] = 91374.392921
x[256] = 119818.093136
x[257] = 192679.840766
x[258] = 85098.128568
x[259] = 27766.035978
x[260] = 118801.803445
x[261] = 5406.895222
x[262] = 132834.440947
x[263] = 117182.003060
x[264] = -22946.185282
x[265] = 170229.036342
x[266] = 125299.770930
x[267] = 119086.296097
x[268] = -14321.626526
x[269] = 18416.607748
x[270] = 113416.467578
x[271] = 1656.201637
x[272] = 116473.193094
x[273] = 3147.244719
x[274] = 147733.582858
x[275] = 138012.360282
x[276] = 5885.693847
x[277] = 195697.219721
x[278] = 7179.297783
x[279] = -5470.866875
x[280] = -2973.323457
x[281] = 6499.342584
x[282] = 176377.172013
x[283] = -26105.135196
x[284] = 88118.624076
x[285] = 153780.073707
x[286] = 103290.396427
x[287] = 10929.224582
x[288] = 144176.192434
x[289] = -9885.817233
x[290] = 79462.883794
x[291] = 66350.024559
x[292] = 37333.984783
x[293] = 14464.302892
x[294] = -16566.816765
x[295] = 53548.693537
x[296] = -13362.865487
x[297] = 144549.402678
x[298] = -26345.745730
x[299] = 11134.322053
x[300] = -33391.940964
x[301] = 127211.408965
x[302] = 49320.209312
x[303] = 121139.237267
x[304] = 170525.120508
x[305] = 1392.474078
x[306] = 59289.415543
x[307] = -22648.281537
x[308] = -3897.395526
x[309] = 107319.083805
x[310] = 9672.863378
x[311] = 32844.187818
x[312] = 152051.047115
x[313] = -12957.567858
x[314] = 43540.425726
x[315] = 41306.255812
x[316] = 178636.547900
x[317] = 188057.853021
x[318] = 91393.225164
x[319] = 126411.455212
x[320] = -19515.896202
x[321] = -26618.106637
x[322] = -7622.219542
x[323] = 56337.305958
x[324] = 24718.821727
x[325] = 14882.421604
x[326] = 150221.440271
x[327] = 50193.444231
x[328] = -39242.318553
x[329] = 165875.459703
x[330] = 100607.347292
x[331] = -31843.764630
x[332] = 94668.724103
x[333] = 191508.981092
x[334] = 129244.150714
x[335] = 66486.656229
x[336] = -7193.164763
x[337] = -11262.501528
x[338] = 82741.183852
x[339] = 31025.450683
x[340] = 137836.432667
x[341] = 134468.819297
x[342] = 103544.924079
x[343] = 92820.764364
x[344] = 161399.828864
x[345] = 188846.297374
x[346] = 175278.392051
x[347] = 141712.630935
x[348] = 178568.429470
x[349] = 68640.404919
x[350] = 71534.386002
x[351] = -37754.178024
x[352] = 81167.449050
x[353] = 101484.069507
x[354] = 60883.887342
x[355] = 145671.965659
x[356] = 154452.632298
x[357] = 14319.929163
x[358] = -2175.868616
x[359] = 157249.718473
x[360] = -18535.046764
x[361] = 139518.574756
x[362] = 164184.836194
x[363] = 115839.674201
x[364] = 132656.611139
x[365] = 95248.515238
x[366] = -18448.108636
x[367] = 165387.644666
x[368] = 127766.369568
x[369] = 105676.432357
x[370] = -578.300487
x[371] = 67757.661941
x[372] = 39472.841445
x[373] = 140606.718734
x[374] = -38815.732510
x[375] = -455.821450
x[376] = 133102.474528
x[377] = 174867.503078
x[378] = 183236.028582
x[379] = 111813.338770
x[380] = 45292.883122
x[381] = 53471.941412
x[382] = 114691.310629
x[383] = 165718.818477
x[384] = 195664.161830
x[385] = -23671.517732
x[386] = 111665.593025
x[387] = 153844.340117
x[388] = 29803.987934
x[389] = 149237.764491
x[390] = 110259.577737
x[391] = 48760.216722
x[392] = 89971.366948
x[393] = 75533.583443
x[394] = -34292.717584
x[395] = 22424.836352
x[396] = -24363.293008
x[397] = -12835.660999
x[398] = -7918.605830
x[399] = 140885.959080
x[400] = 129948.838874
x[401] = 26655.207601
x[402] = 8460.139090
x[403] = -26674.125921
x[404] = -29779.519997
x[405] = 8427.291550
x[406] = 14768.599637
x[407] = 142488.031368
x[408] = -13640.884581
x[409] = -914.777043
x[410] = 56081.177542
x[411] = 71957.150615
x[412] = 97160.748523
x[413] = -30645.411355
x[414] = 36530.043482
x[415] = 93287.368823
x[416] = -16359.559951
x[417] = 191098.591770
x[418] = 46805.776566
x[419] = 51933.524591
x[420] = 139935.475966
x[421] = 197345.197470
x[422] = 143588.479262
x[423] = 30672.859484
x[424] = 77590.711524
x[425] = 147712.081513
x[426] = 96770.588392
x[427] = 90456.858459
x[428] = 173311.868963
x[429] = 127112.415031
x[430] = 34778.504608
x[431] = 107824.814878
x[432] = 195656.634277
x[433] = 84686.193740
x[434] = 117578.293773
x[435] = -34381.510760
x[436] = 131777.947797
x[437] = 173262.883397
x[438] = 149315.929817
x[439] = 158221.781518
x[440] = -23728.456610
x[441] = 6197.051266
x[442] = 32959.324967
x[443] = 111583.711897
x[444] = 15714.733688
x[445] = 107490.463453
x[446] = 4888.266288
x[447] = 39692.257032
x[448] = 100431.753593
x[449] = 92163.132499
x[450] = 133952.393410
x[451] = 41018.552116
x[452] = 91435.872815
x[453] = 77615.961329
x[454] = 112473.469231
x[455] = -30611.534248
x[456] = 25530.216611
x[457] = 9616.438684
x[458] = 99325.697693
x[459] = 1684.866955
x[460] = 174712.501993
x[461] = 175177.526698
x[462] = 147444.205836
x[463] = 172627.545403
x[464] = 59162.638491
x[465] = 69762.771884
x[466] = 179113.039654
x[467] = -9264.498872
x[468] = 43778.143078
x[469] = 131788.693465
x[470] = 190899.826243
x[471] = 56961.357026
x[472] = 174148.479717
x[473] = 23342.215729
x[474] = -29703.569323
x[475] = -9403.266140
x[476] = 171988.629568
x[477] = 14713.844242
x[478] = 71411.980796
x[479] = 72049.138133
x[480] = 147446.374451
x[481] = 4318.398478
x[482] = 152685.934699
x[483] = 40430.312432
x[484] = 122183.281548
x[485] = 66150.347191
x[486] = 48242.071189
x[487] = 187195.443297
x[488] = 116079.407584
x[489] = 191582.659052
x[490] = -11849.046187
x[491] = 92892.008025
x[492] = 167424.385240
x[493] = 177721.643700
x[494] = 65168.387973
x[495] = 26484.446606
x[496] = 49073.557788
x[497] = 48334.756786
x[498] = 59038.638300
x[499] = 132093.602539
x[500] = -24177.666764
x[501] = 51414.760285
x[502] = -8987.471394
x[503] = 192042.568304
x[504] = 112584.183169
x[505] = 725.561870
x[506] = -13304.094277
x[507] = 87262.879823
x[508] = 55554.467503
x[509] = 96332.800697
x[510] = 199237.605333
x[511] = 3908.828150
x[512] = 139248.571400
x[513] = 154730.529808
x[514] = 83044.574334
x[515] = 61162.859359
x[516] = 18773.003669
x[517] = 171918.053195
x[518] = 49857.435185
x[519] = 175751.145666
x[520] = 161980.941521
x[521] = 79829.128327
x[522] = 70983.544756
x[523] = 129129.766670
x[524] = 60977.732393
x[525] = 176613.922964
x[526] = 198056.638936
x[527] = 152002.860703
x[528] = 23428.364894
x[529] = 57024.279656
x[530] = 81379.658528
x[531] = 40499.407386
x[532] = 148839.957201
x[533] = 115257.128712
x[534] = 33916.952846
x[535] = 61576.473516
x[536] = 154164.917559
x[537] = 59629.677203
x[538] = 186989.773645
x[539] = 10771.723170
x[540] = 193152.689428
x[541] = 189069.775555
x[542] = 53226.051403
x[543] = 131953.126142
x[544] = 142336.609959
x[545] = 179520.582183
x[546] = -5199.633610
x[547] = -34951.347590
x[548] = 152375.248322
x[549] = 87751.783730
x[550] = 177664.500713
x[551] = 118125.681690
x[552] = -31581.814993
x[553] = 50195.560913
x[554] = 47014.373897
x[555] = 69045.985426
x[556] = 27671.852021
x[557] = 45697.154809
x[558] = 20136.302779
x[559] = 91629.903489
x[560] = 142281.732178
x[561] = 142271.984876
x[562] = 172874.970368
x[563] = 90460.380728
x[564] = 56263.392270
x[565] = 10373.053203
x[566] = 191517.604100
x[567] = 10302.582015
x[568] = 108636.408771
x[569] = 179764.782818
x[570] = 62058.165775
x[571] = 102351.393627
x[572] = 170471.848312
x[573] = 156190.372681
x[574] = 38710.949187
x[575] = 114080.315322
x[576] = 136420.764870
x[577] = 77801.588062
x[578] = 115333.810655
x[579] = 88434.153246
x[580] = -35877.934114
x[581] = 95431.336843
x[582] = 6514.036645
x[583] = -27151.688918
x[584] = 184385.942636
x[585] = 91828.725179
x[586] = 80387.904626
x[587] = 11979.636507
x[588] = 177119.942282
x[589] = 140249.384449
x[590] = 145808.982288
x[591] = 120688.009701
x[592] = 79974.806467
x[593] = 121517.623746
x[594] = 10490.422180
x[595] = 178036.287261
x[596] = 168535.874919
x[597] = 4127.038697
x[598] = -8412.607499
x[599] = 81187.849649
x[600] = -15245.396943
x[601] = 94226.338297
x[602] = -16758.932158
x[603] = 195541.460650
x[604] = 49553.959263
x[605] = 65233.784031
x[606] = 109739.292762
x[607] = -15507.975586
x[608] = 181294.371227
x[609] = 23920.494247
x[610] = 114246.063669
x[611] = 185055.305263
x[612] = 159262.598398
x[613] = 160117.509677
x[614] = 195311.973138
x[615] = 146892.038545
x[616] = 51459.944425
x[617] = 78745.119564
x[618] = -39345.188061
x[619] = 30372.155556
x[620] = 18781.352454
x[621] = 144593.016032
x[622] = 191817.388316
x[623] = 139504.696143
x[624] = 65338.135292
x[625] = 3263.895405
x[626] = 120772.550660
x[627] = 35367.395808
x[628] = 46265.420410
x[629] = 150027.087889
x[630] = 157434.648829
x[631] = 70818.693359
x[632] = 42816.308773
x[633] = 181134.180953
x[634] = 68049.586321
x[635] = 132548.407203
x[636] = 47648.767762
x[637] = -24623.037073
x[638] = 157893.912151
x[639] = 31542.726670
x[640] = 40294.323589
x[641] = 74930.618167
x[642] = 15017.702503
x[643] = -986.028926
x[644] = 32992.022109
x[645] = 14890.755751
x[646] = 185604.173744
x[647] = 126626.471256
x[648] = 131782.471548
x[649] = 184084.520127
x[650] = 195277.108964
x[651] = 188137.775548
x[652] = 130998.086263
x[653] = 187785.989936
x[654] = 130759.666836
x[655] = -3016.953082
x[656] = -9934.742091
x[657] = 51954.254698
x[658] = 72664.454403
x[659] = 76269.248132
x[660] = 2236.655232
x[661] = 31024.395137
x[662] = 185821.065523
x[663] = 81585.866169
x[664] = 12627.520969
x[665] = 53882.774070
x[666] = 13933.019624
x[667] = 97452.816953
x[668] = 67194.400969
x[669] = -27892.469402
x[670] = 169428.847273
x[671] = 147779.821237
x[672] = 85845.763667
x[673] = -14018.735362
x[674] = 189270.260390
x[675] = 159814.871233
x[676] = 38916.640946
x[677] = 173129.020878
x[678] = 85997.249117
x[679] = -27494.118397
x[680] = 161805.746067
x[681] = 80052.668918
x[682] = -39036.109153
x[683] = 93002.633597
x[684] = 70863.531515
x[685] = 131237.050886
x[686] = 130424.394699
x[687] = 101232.638819
x[688] = -17307.635875
x[689] = 4343.714849
x[690] = -22784.377400
x[691] = 25102.949843
x[692] = 75443.743722
x[693] = -36063.104546
x[694] = 142721.674339
x[695] = 127684.474576
x[696] = 57968.504944
x[697] = -37524.060386
x[698] = 26017.454310
x[699] = 164677.566773
x[700] = -26778.700358
x[701] = -4983.639096
x[702] = 116433.577628
x[703] = 101156.445006
x[704] = 20710.138783
x[705] = 103622.084027
x[706] = 60685.715359
x[707] = 100836.359606
x[708] = 81829.192738
x[709] = 186394.849024
x[710] = 108074.463846
x[711] = 41342.964227
x[712] = 70554.434090
x[713] = 109185.905001
x[714] = 175465.297832
x[715] = 183393.467470
x[716] = 41476.026281
x[717] = 108760.333818
x[718] = 84884.377329
x[719] = 65192.569562
x[720] = 153532.665275
x[721] = 102585.784329
x[722] = 127481.135316
x[723] = 28978.611730
x[724] = 106024.057099
x[725] = 73824.947346
x[726] = 194916.306729
x[727] = -33792.613653
x[728] = 74136.106407
x[729] = 22377.269869
x[730] = 173732.300217
x[731] = 89525.380977
x[732] = 58605.093967
x[733] = 89444.842574
x[734] = -9504.736139
x[735] = 122427.560084
x[736] = -3077.436115
x[737] = 93803.174799
x[738] = 24475.951404
x[739] = 119190.246919
x[740] = 81795.928176
x[741] = 171514.571081
x[742] = -34635.882769
x[743] = 194522.566046
x[744] = 84176.488584
x[745] = 179144.022490
x[746] = 178427.957281
x[747] = 164661.037685
x[748] = 87832.954848
x[749] = 66064.668332
x[750] = 29696.889659
x[751] = 40608.693335
x[752] = -30152.476834
x[753] = 198105.433505
x[754] = 108355.086663
x[755] = 116189.611077
x[756] = 72715.264144
x[757] = 105647.467492
x[758] = 122790.905093
x[759] = 184454.965852
x[760] = 169317.850301
x[761] = 96300.682645
x[762] = 76191.831640
x[763] = 30979.978464
x[764] = -13725.358385
x[765] = 103102.078150
x[766] = 194228.245526
x[767] = 24780.315405
x[768] = -1639.252547
x[769] = 15157.083603
x[770] = 182549.477055
x[771] = 122738.870570
x[772] = -9648.933885
x[773] = 183166.174171
x[774] = 116526.954371
x[775] = 113050.525553
x[776] = 163229.935010
x[777] = 95119.942576
x[778] = 78967.089998
x[779] = 53164.496291
x[780] = -37645.418139
x[781] = 147785.608247
x[782] = 134431.152573
x[783] = -29774.702048
x[784] = 145200.300646
x[785] = 46257.499300
x[786] = 125698.058624
x[787] = 18284.174253
x[788] = 192702.472147
x[789] = 47024.568458
x[790] = 6966.662882
x[791] = 165333.637774
x[792] = 180609.195428
x[793] = 119766.185562
x[794] = -2776.403734
x[795] = -29211.638429
x[796] = 27445.337823
x[797] = -10344.017636
x[798] = 32536.706472
x[799] = 67183.661509
x[800] = 46082.722227
x[801] = 15548.042958
x[802] = -11784.331595
x[803] = 73338.658570
x[804] = 1436.956839
x[805] = 144006.932975
x[806] = -8188.155736
x[807] = -30672.557714
x[808] = 40628.515901
x[809] = 106938.768816
x[810] = 62517.012515
x[811] = 42728.781980
x[812] = 57019.208582
x[813] = -1531.587084
x[814] = 53170.505265
x[815] = 3496.157825
x[816] = 82483.668606
x[817] = -20591.073410
x[818] = 62351.767353
x[819] = 79146.083954
x[820] = 66140.210467
x[821] = 108421.789557
x[822] = 44089.054510
x[823] = 49311.378516
x[824] = 29753.005519
x[825] = 78072.981344
x[826] = 57415.178839
x[827] = 96036.743272
x[828] = 107806.209578
x[829] = 130009.623274
x[830] = -36912.549116
x[831] = 194515.039186
x[832] = 185384.281963
x[833] = -8588.925569
x[834] = 70685.320952
x[835] = -8593.598019
x[836] = 177733.678726
x[837] = 102227.921055
x[838] = -2804.075170
x[839] = 20109.895904
x[840] = 9585.035540
x[841] = 100050.282116
x[842] = 102305.846992
x[843] = 106051.619265
x[844] = 137355.324893
x[845] = 194857.545411
x[846] = 147646.758851
x[847] = 26460.632859
x[848] = -25773.753903
x[849] = 10207.987373
x[850] = 144243.433124
x[851] = 83379.581452
x[852] = 156896.307326
x[853] = -9557.748052
x[854] = 170864.090923
x[855] = -13645.607200
x[856] = 107461.029930
x[857] = 29502.536978
x[858] = 125225.238762
x[859] = 19905.055765
x[860] = -38210.070206
x[861] = 127225.603402
x[862] = 16405.071920
x[863] = 188504.831682
x[864] = 161740.568790
x[865] = 129385.900338
x[866] = -20512.911467
x[867] = 139071.907304
x[868] = 30252.848174
x[869] = 15371.685004
x[870] = 198699.497008
x[871] = 81564.216094
x[872] = 157258.217173
x[873] = 100769.511456
x[874] = -11890.184871
x[875] = 96429.345384
x[876] = 99369.780805
x[877] = 178630.406645
x[878] = 162970.706405
x[879] = 113114.674083
x[880] = -7843.782480
x[881] = 106956.031809
x[882] = -2970.388668
x[883] = 188769.710149
x[884] = 134587.273518
x[885] = -30850.259903
x[886] = -21169.885343
x[887] = 44553.547348
x[888] = 39128.409181
x[889] = 144352.620322
x[890] = 102623.988721
x[891] = 41125.759535
x[892] = 74644.422395
x[893] = 159742.474562
x[894] = 30466.950640
x[895] = 35888.970931
x[896] = 89875.671015
x[897] = 47197.784313
x[898] = -24039.537438
x[899] = 159698.546505
x[900] = 102625.207511
x[901] = -24037.351543
x[902] = 42101.217725
x[903] = 61045.260045
x[904] = 117398.036670
x[905] = 73243.179599
x[906] = 196930.346485
x[907] = 16791.790444
x[908] = 47668.061415
x[909] = 160698.355083
x[910] = 167747.007226
x[911] = 80148.568551
x[912] = 70427.362192
x[913] = -32631.789321
x[914] = 72223.483027
x[915] = 4495.704946
x[916] = -24513.858153
x[917] = 86784.280381
x[918] = 91502.222706
x[919] = 56338.022351
x[920] = 33856.158848
x[921] = -4722.005083
x[922] = 134631.015723
x[923] = 148673.758118
x[924] = 195104.327443
x[925] = -33615.661214
x[926] = -12749.366188
x[927] = 86123.803774
x[928] = 55014.423251
x[929] = 4387.828733
x[930] = 48925.577816
x[931] = 196250.236165
x[932] = 18373.786444
x[933] = 133455.851802
x[934] = 57506.484594
x[935] = 175250.400584
x[936] = 5005.709962
x[937] = 54346.742612
x[938] = -7453.685209
x[939] = 94449.391479
x[940] = 20610.218235
x[941] = -36191.208834
x[942] = -24478.203983
x[943] = 128141.455174
x[944] = -27091.413909
x[945] = 86677.821459
x[946] = 172938.980549
x[947] = -11621.964027
x[948] = -22905.266090
x[949] = 63515.328012
x[950] = 83999.531777
x[951] = 52733.086923
x[952] = 100346.984742
x[953] = 21104.314201
x[954] = 3599.483047
x[955] = 93714.204898
x[956] = 25894.268766
x[957] = 26658.123741
x[958] = -17829.011842
x[959] = 119741.196177
x[960] = 71034.407193
x[961] = 69411.732460
x[962] = 117046.472916
x[963] = 132103.432081
x[964] = 3842.813133
x[965] = -22380.001535
x[966] = 106127.242231
x[967] = 47479.486601
x[968] = 75101.899266
x[969] = 140041.936418
x[970] = 182606.420869
x[971] = 134498.702363
x[972] = 145077.063700
x[973] = 196873.442488
x[974] = 60980.868164
x[975] = 155834.033488
x[976] = 84774.753031
x[977] = 35936.905260
x[978] = 187298.310990
x[979] = 104704.561353
x[980] = 138732.907853
x[981] = 71224.960761
x[982] = 196381.101588
x[983] = 38491.620450
x[984] = 132390.121300
x[985] = -2528.163244
x[986] = 172509.304773
x[987] = -37160.693896
x[988] = 67184.697742
x[989] = 194697.465140
x[990] = 122965.095969
x[991] = 178726.843392
x[992] = 66968.254662
x[993] = 40283.505615
x[994] = 109483.823884
x[995] = 111047.821743
x[996] = 55107.146155
x[997] = 18689.947683
x[998] = -39075.053089
x[999] = 170041.289291
